timestamp	total_positive_cases	deaths
2020-03-02T17:00:00Z	0	
2020-03-03T17:00:00Z	0	
2020-03-04T17:00:00Z	0	
2020-03-05T17:00:00Z	2	
2020-03-06T17:00:00Z	2	
2020-03-07T17:00:00Z	8	
2020-03-08T16:00:00Z	8	
2020-03-09T16:00:00Z	13	
2020-03-10T16:00:00Z	14	
2020-03-11T16:00:00Z	14	
2020-03-12T16:00:00Z	18	
2020-03-13T16:00:00Z	23	
2020-03-14T16:00:00Z	28	
2020-03-15T16:00:00Z	37	
2020-03-16T16:00:00Z	40	
2020-03-17T16:00:00Z	43	
2020-03-18T16:00:00Z	51	
2020-03-19T16:00:00Z	70	
2020-03-20T16:00:00Z	76	
2020-03-21T16:00:00Z	84	
2020-03-22T16:00:00Z	108	
2020-03-23T16:00:00Z	131	
2020-03-24T16:00:00Z	152	
2020-03-25T16:00:00Z	178	
2020-03-26T16:00:00Z	223	
2020-03-27T16:00:00Z	279	
2020-03-28T16:00:00Z	308	
2020-03-29T16:00:00Z	340	
2020-03-30T16:00:00Z	374	
2020-03-31T16:00:00Z	397	
2020-04-01T16:00:00Z	434	
2020-04-02T16:00:00Z	450	
2020-04-03T16:00:00Z	497	7
